,helpfulness
1244,not_helpful
1245,not_helpful
1250,not_helpful
1251,not_helpful
1252,not_helpful
1255,not_helpful
1256,not_helpful
1257,not_helpful
1258,not_helpful
1259,not_helpful
1260,not_helpful
1262,not_helpful
1265,not_helpful
1267,not_helpful
1268,not_helpful
1280,not_helpful
1281,not_helpful
1283,not_helpful
1284,not_helpful
1291,not_helpful
1292,not_helpful
1293,not_helpful
1294,not_helpful
1295,not_helpful
1296,not_helpful
1299,not_helpful
1300,not_helpful
1308,not_helpful
1309,not_helpful
1311,not_helpful
1315,not_helpful
1317,not_helpful
1318,not_helpful
1320,not_helpful
1323,not_helpful
1338,not_helpful
1351,not_helpful
1355,not_helpful
1367,not_helpful
1371,not_helpful
1376,not_helpful
1392,not_helpful
1402,not_helpful
1416,not_helpful
1422,not_helpful
1425,not_helpful
1436,not_helpful
1446,not_helpful
1457,not_helpful
1462,not_helpful
1473,not_helpful
1494,not_helpful
1518,not_helpful
1532,not_helpful
1534,not_helpful
1539,not_helpful
1541,not_helpful
1542,not_helpful
1543,not_helpful
1544,not_helpful
1545,not_helpful
1546,not_helpful
1547,not_helpful
1548,not_helpful
1549,not_helpful
1551,not_helpful
1552,not_helpful
1555,not_helpful
1557,not_helpful
1560,not_helpful
1561,not_helpful
1562,not_helpful
1563,not_helpful
1565,not_helpful
1568,not_helpful
1571,not_helpful
1575,not_helpful
1580,not_helpful
1583,not_helpful
1586,not_helpful
1587,not_helpful
1588,not_helpful
1589,not_helpful
1591,not_helpful
1592,not_helpful
1601,not_helpful
1603,not_helpful
1604,not_helpful
1605,not_helpful
1606,not_helpful
1607,not_helpful
1608,not_helpful
1613,not_helpful
1616,not_helpful
1617,not_helpful
1618,not_helpful
1619,not_helpful
1621,not_helpful
1623,not_helpful
1625,not_helpful
1626,not_helpful
1627,not_helpful
1635,not_helpful
1636,not_helpful
1640,not_helpful
1641,not_helpful
1642,not_helpful
1646,not_helpful
1649,not_helpful
1652,not_helpful
1654,not_helpful
1657,not_helpful
1659,not_helpful
1660,not_helpful
1661,not_helpful
1663,not_helpful
1666,not_helpful
1668,not_helpful
1674,not_helpful
1677,not_helpful
1679,not_helpful
1682,not_helpful
1692,not_helpful
1695,not_helpful
1697,not_helpful
1698,not_helpful
1702,not_helpful
1703,not_helpful
1704,not_helpful
1705,not_helpful
1710,not_helpful
1713,not_helpful
1718,not_helpful
1721,not_helpful
1722,not_helpful
1723,not_helpful
1727,not_helpful
1729,not_helpful
1730,not_helpful
1731,not_helpful
1732,not_helpful
1733,not_helpful
1734,not_helpful
1735,not_helpful
1736,not_helpful
1738,not_helpful
1739,not_helpful
1741,not_helpful
1742,not_helpful
1743,not_helpful
1745,not_helpful
1746,not_helpful
1747,not_helpful
1748,not_helpful
1749,not_helpful
1751,not_helpful
1752,not_helpful
1754,not_helpful
1755,not_helpful
1756,not_helpful
1761,not_helpful
1764,not_helpful
1766,not_helpful
1767,not_helpful
1768,not_helpful
1771,not_helpful
1772,not_helpful
1773,not_helpful
1774,not_helpful
1777,not_helpful
1778,not_helpful
1780,not_helpful
1782,not_helpful
1783,not_helpful
1784,not_helpful
1785,not_helpful
1787,not_helpful
1788,not_helpful
1790,not_helpful
1791,not_helpful
1792,not_helpful
1793,not_helpful
1795,not_helpful
1796,not_helpful
1797,not_helpful
1798,not_helpful
1799,not_helpful
1800,not_helpful
1801,not_helpful
1802,not_helpful
1803,not_helpful
1805,not_helpful
1807,not_helpful
1808,not_helpful
1809,not_helpful
1815,not_helpful
1816,not_helpful
1820,not_helpful
1821,not_helpful
1823,not_helpful
1826,not_helpful
1828,not_helpful
1829,not_helpful
1830,not_helpful
1831,not_helpful
1834,not_helpful
1836,not_helpful
1838,not_helpful
1840,not_helpful
1841,not_helpful
1844,not_helpful
1845,not_helpful
1846,not_helpful
1847,not_helpful
1850,not_helpful
1852,not_helpful
1854,not_helpful
1857,not_helpful
1858,not_helpful
1859,not_helpful
1860,not_helpful
1862,not_helpful
1863,not_helpful
1864,not_helpful
1865,not_helpful
1866,not_helpful
1867,not_helpful
1869,not_helpful
1870,not_helpful
1871,not_helpful
1872,not_helpful
1873,not_helpful
1874,not_helpful
1875,not_helpful
1876,not_helpful
1877,not_helpful
1880,not_helpful
1881,not_helpful
1883,not_helpful
1884,not_helpful
1885,not_helpful
1886,not_helpful
1888,not_helpful
1889,not_helpful
1890,not_helpful
1892,not_helpful
1895,not_helpful
1896,not_helpful
1897,not_helpful
1898,not_helpful
1899,not_helpful
1901,not_helpful
1902,not_helpful
1905,not_helpful
1907,not_helpful
1908,not_helpful
1909,not_helpful
1914,not_helpful
1915,not_helpful
1916,not_helpful
1917,not_helpful
1918,not_helpful
1925,not_helpful
1929,not_helpful
1932,not_helpful
1938,not_helpful
1946,not_helpful
1950,not_helpful
1954,not_helpful
1956,not_helpful
1958,not_helpful
1960,not_helpful
1962,not_helpful
1963,not_helpful
1964,not_helpful
1965,not_helpful
1967,not_helpful
1968,not_helpful
1969,not_helpful
1971,not_helpful
1973,not_helpful
1974,not_helpful
1975,not_helpful
1977,not_helpful
1979,not_helpful
1980,not_helpful
1982,not_helpful
1983,not_helpful
1987,not_helpful
1992,not_helpful
1993,not_helpful
1995,not_helpful
1997,not_helpful
2001,not_helpful
2003,not_helpful
2004,not_helpful
2005,not_helpful
2007,not_helpful
2015,not_helpful
2021,not_helpful
2024,not_helpful
2025,not_helpful
2026,not_helpful
2028,not_helpful
2032,not_helpful
2037,not_helpful
2043,not_helpful
2058,not_helpful
2077,not_helpful
2080,not_helpful
2083,not_helpful
2086,not_helpful
2088,not_helpful
2090,not_helpful
2091,not_helpful
2097,not_helpful
2099,not_helpful
2103,not_helpful
2104,not_helpful
2105,not_helpful
2139,not_helpful
2157,not_helpful
2184,not_helpful
2226,not_helpful
2229,not_helpful
2243,not_helpful
2244,not_helpful
2250,not_helpful
2258,not_helpful
2260,not_helpful
2269,not_helpful
2278,not_helpful
2279,not_helpful
2310,not_helpful
2312,not_helpful
2316,not_helpful
2323,not_helpful
2325,not_helpful
2330,not_helpful
2338,not_helpful
2340,not_helpful
2345,not_helpful
2347,not_helpful
2356,not_helpful
2366,not_helpful
2368,not_helpful
2381,not_helpful
2384,not_helpful
2386,not_helpful
2393,not_helpful
2410,not_helpful
2420,not_helpful
2443,not_helpful
2444,not_helpful
2446,not_helpful
2451,not_helpful
2457,not_helpful
2458,not_helpful
2469,not_helpful
2473,not_helpful
2480,not_helpful
2486,not_helpful
2487,not_helpful
2488,not_helpful
2492,not_helpful
2493,not_helpful
2499,not_helpful
2500,not_helpful
2501,not_helpful
2505,not_helpful
2508,not_helpful
2510,not_helpful
2511,not_helpful
2512,not_helpful
2515,not_helpful
2516,not_helpful
2517,not_helpful
2520,not_helpful
2523,not_helpful
2524,not_helpful
2525,not_helpful
2528,not_helpful
2529,not_helpful
2531,not_helpful
2533,not_helpful
2534,not_helpful
2538,not_helpful
2543,not_helpful
2545,not_helpful
2549,not_helpful
2550,not_helpful
2551,not_helpful
2555,not_helpful
2557,not_helpful
2560,not_helpful
2564,not_helpful
2565,not_helpful
2566,not_helpful
2567,not_helpful
2572,not_helpful
2579,not_helpful
2590,not_helpful
2591,not_helpful
2593,not_helpful
2594,not_helpful
2597,not_helpful
2598,not_helpful
2601,not_helpful
2605,not_helpful
2607,not_helpful
2608,not_helpful
2610,not_helpful
2611,not_helpful
2612,not_helpful
2613,not_helpful
2614,not_helpful
2615,not_helpful
2616,not_helpful
2618,not_helpful
2619,not_helpful
2623,not_helpful
2624,not_helpful
2625,not_helpful
2627,not_helpful
2635,not_helpful
2636,not_helpful
2638,not_helpful
2641,not_helpful
2644,not_helpful
2646,not_helpful
2647,not_helpful
2648,not_helpful
2649,not_helpful
2650,not_helpful
2653,not_helpful
2660,not_helpful
2662,not_helpful
2667,not_helpful
2668,not_helpful
2671,not_helpful
2672,not_helpful
2673,not_helpful
2675,not_helpful
2678,not_helpful
2679,not_helpful
2680,not_helpful
2686,not_helpful
2688,not_helpful
2690,not_helpful
2691,not_helpful
2692,not_helpful
2693,not_helpful
2694,not_helpful
2695,not_helpful
2699,not_helpful
2707,not_helpful
2709,not_helpful
2710,not_helpful
2711,not_helpful
2712,not_helpful
2713,not_helpful
2716,not_helpful
2717,not_helpful
2718,not_helpful
2723,not_helpful
2726,not_helpful
2729,not_helpful
2730,not_helpful
2732,not_helpful
2734,not_helpful
2735,not_helpful
2737,not_helpful
2738,not_helpful
2739,not_helpful
2740,not_helpful
2741,not_helpful
2742,not_helpful
2743,not_helpful
2744,not_helpful
2745,not_helpful
2746,not_helpful
2747,not_helpful
2749,not_helpful
2750,not_helpful
2751,not_helpful
2752,not_helpful
2753,not_helpful
2754,not_helpful
2755,not_helpful
2757,not_helpful
2758,not_helpful
2759,not_helpful
2760,not_helpful
2762,not_helpful
2764,not_helpful
2765,not_helpful
2766,not_helpful
2767,not_helpful
2768,not_helpful
2769,not_helpful
2770,not_helpful
2771,not_helpful
2772,not_helpful
2774,not_helpful
2775,not_helpful
2776,not_helpful
2778,not_helpful
2779,not_helpful
2780,not_helpful
2782,not_helpful
