,helpfulness
785,not_helpful
786,not_helpful
787,not_helpful
788,not_helpful
789,not_helpful
790,not_helpful
791,not_helpful
792,not_helpful
793,not_helpful
794,not_helpful
795,not_helpful
796,not_helpful
797,not_helpful
798,not_helpful
799,not_helpful
800,not_helpful
801,not_helpful
802,not_helpful
803,not_helpful
804,not_helpful
805,not_helpful
806,not_helpful
807,not_helpful
808,not_helpful
809,not_helpful
810,not_helpful
811,not_helpful
812,not_helpful
813,not_helpful
814,not_helpful
815,not_helpful
816,not_helpful
817,not_helpful
818,not_helpful
819,not_helpful
820,not_helpful
821,not_helpful
822,not_helpful
823,not_helpful
824,not_helpful
825,not_helpful
826,not_helpful
827,not_helpful
828,not_helpful
829,not_helpful
830,not_helpful
831,not_helpful
832,not_helpful
833,not_helpful
834,not_helpful
835,not_helpful
836,not_helpful
837,not_helpful
838,not_helpful
839,not_helpful
840,not_helpful
841,not_helpful
842,not_helpful
843,not_helpful
844,not_helpful
845,not_helpful
846,not_helpful
847,not_helpful
848,not_helpful
849,not_helpful
850,not_helpful
851,not_helpful
852,not_helpful
853,not_helpful
854,not_helpful
855,not_helpful
856,not_helpful
857,not_helpful
858,not_helpful
859,not_helpful
860,not_helpful
861,not_helpful
862,not_helpful
863,not_helpful
864,not_helpful
865,not_helpful
866,not_helpful
867,not_helpful
868,not_helpful
869,not_helpful
870,not_helpful
871,not_helpful
872,not_helpful
873,not_helpful
874,not_helpful
875,not_helpful
876,not_helpful
877,not_helpful
878,not_helpful
879,not_helpful
880,not_helpful
881,not_helpful
882,not_helpful
883,not_helpful
884,not_helpful
885,not_helpful
886,not_helpful
887,not_helpful
888,not_helpful
889,not_helpful
890,not_helpful
891,not_helpful
892,not_helpful
893,not_helpful
894,not_helpful
895,not_helpful
896,not_helpful
897,not_helpful
898,not_helpful
899,not_helpful
900,not_helpful
901,not_helpful
902,not_helpful
903,not_helpful
904,not_helpful
905,not_helpful
906,not_helpful
907,not_helpful
908,not_helpful
909,not_helpful
910,not_helpful
911,not_helpful
912,not_helpful
913,not_helpful
914,not_helpful
915,not_helpful
916,not_helpful
917,not_helpful
918,not_helpful
919,not_helpful
920,not_helpful
921,not_helpful
922,not_helpful
923,not_helpful
924,not_helpful
925,not_helpful
926,not_helpful
927,not_helpful
928,not_helpful
929,not_helpful
930,not_helpful
931,not_helpful
932,not_helpful
933,not_helpful
934,not_helpful
935,not_helpful
936,not_helpful
937,not_helpful
938,not_helpful
939,not_helpful
940,not_helpful
941,not_helpful
942,not_helpful
943,not_helpful
944,not_helpful
945,not_helpful
946,not_helpful
947,not_helpful
948,not_helpful
949,not_helpful
950,not_helpful
951,not_helpful
952,not_helpful
953,not_helpful
954,not_helpful
955,not_helpful
956,not_helpful
957,not_helpful
958,not_helpful
959,not_helpful
960,not_helpful
961,not_helpful
962,not_helpful
963,not_helpful
964,not_helpful
965,not_helpful
966,not_helpful
967,not_helpful
968,not_helpful
969,not_helpful
970,not_helpful
971,not_helpful
972,not_helpful
973,not_helpful
974,not_helpful
975,not_helpful
976,not_helpful
977,not_helpful
978,not_helpful
979,not_helpful
980,not_helpful
981,not_helpful
982,not_helpful
983,not_helpful
984,not_helpful
985,not_helpful
986,not_helpful
987,not_helpful
988,not_helpful
989,not_helpful
990,not_helpful
991,not_helpful
992,not_helpful
993,not_helpful
994,not_helpful
995,not_helpful
996,not_helpful
997,not_helpful
998,not_helpful
999,not_helpful
1000,not_helpful
1001,not_helpful
1002,not_helpful
1003,not_helpful
1004,not_helpful
1005,not_helpful
1006,not_helpful
1007,not_helpful
1008,not_helpful
1009,not_helpful
1010,not_helpful
1011,not_helpful
1012,not_helpful
1013,not_helpful
1014,not_helpful
1015,not_helpful
1016,not_helpful
1017,not_helpful
1018,not_helpful
1019,not_helpful
1020,not_helpful
1021,not_helpful
1022,not_helpful
1023,not_helpful
1024,not_helpful
1025,not_helpful
1026,not_helpful
1027,not_helpful
1028,not_helpful
1029,not_helpful
1030,not_helpful
1031,not_helpful
1032,not_helpful
1033,not_helpful
1034,not_helpful
1035,not_helpful
1036,not_helpful
1037,not_helpful
1038,not_helpful
1039,not_helpful
1040,not_helpful
1041,not_helpful
1042,not_helpful
1043,not_helpful
1044,not_helpful
1045,not_helpful
1046,not_helpful
1047,not_helpful
1048,not_helpful
1049,not_helpful
1050,not_helpful
1051,not_helpful
1052,not_helpful
1053,not_helpful
1054,not_helpful
1055,not_helpful
1056,not_helpful
1057,not_helpful
1058,not_helpful
1059,not_helpful
1060,not_helpful
1061,not_helpful
1062,not_helpful
1063,not_helpful
1064,not_helpful
1065,not_helpful
1066,not_helpful
1067,not_helpful
1068,not_helpful
1069,not_helpful
1070,not_helpful
1071,not_helpful
1072,not_helpful
1073,not_helpful
1074,not_helpful
1075,not_helpful
1076,not_helpful
1077,not_helpful
1078,not_helpful
1079,not_helpful
1080,not_helpful
1081,not_helpful
1082,not_helpful
1083,not_helpful
1084,not_helpful
1085,not_helpful
1086,not_helpful
1087,not_helpful
1088,not_helpful
1089,not_helpful
1090,not_helpful
1091,not_helpful
1092,not_helpful
1093,not_helpful
1094,not_helpful
1095,not_helpful
1096,not_helpful
1097,not_helpful
1098,not_helpful
1099,not_helpful
1100,not_helpful
1101,not_helpful
1102,not_helpful
1103,not_helpful
1104,not_helpful
1105,not_helpful
1106,not_helpful
1107,not_helpful
1108,not_helpful
1109,not_helpful
1110,not_helpful
1111,not_helpful
1112,not_helpful
1113,not_helpful
1114,not_helpful
1115,not_helpful
1116,not_helpful
1117,not_helpful
1118,not_helpful
1119,not_helpful
1120,not_helpful
1121,not_helpful
1122,not_helpful
1123,not_helpful
1124,not_helpful
1125,not_helpful
1126,not_helpful
1127,not_helpful
1128,not_helpful
1129,not_helpful
1130,not_helpful
1131,not_helpful
1132,not_helpful
1133,not_helpful
1134,not_helpful
1135,not_helpful
1136,not_helpful
1137,not_helpful
1138,not_helpful
1139,not_helpful
1140,not_helpful
1141,not_helpful
1142,not_helpful
1143,not_helpful
1144,not_helpful
1145,not_helpful
1146,not_helpful
1147,not_helpful
1148,not_helpful
1149,not_helpful
1150,not_helpful
1151,not_helpful
1152,not_helpful
1153,not_helpful
1154,not_helpful
1155,not_helpful
1156,not_helpful
1157,not_helpful
1158,not_helpful
1159,not_helpful
1160,not_helpful
1161,not_helpful
1162,not_helpful
1163,not_helpful
1164,not_helpful
1165,not_helpful
1166,not_helpful
1167,not_helpful
1168,not_helpful
1169,not_helpful
1170,not_helpful
1171,not_helpful
1172,not_helpful
1173,not_helpful
1174,not_helpful
1175,not_helpful
1176,not_helpful
1177,not_helpful
1178,not_helpful
1179,not_helpful
1180,not_helpful
1181,not_helpful
1182,not_helpful
1183,not_helpful
1184,not_helpful
1185,not_helpful
1186,not_helpful
1187,not_helpful
1188,not_helpful
1189,not_helpful
1190,not_helpful
1191,not_helpful
1192,not_helpful
1193,not_helpful
1194,not_helpful
1195,not_helpful
1196,not_helpful
1197,not_helpful
1198,not_helpful
1199,not_helpful
1200,not_helpful
1201,not_helpful
1202,not_helpful
1203,not_helpful
1204,not_helpful
1205,not_helpful
1206,not_helpful
1207,not_helpful
1208,not_helpful
1209,not_helpful
1210,not_helpful
1211,not_helpful
1212,not_helpful
1213,not_helpful
1214,not_helpful
1215,not_helpful
1216,not_helpful
1217,not_helpful
1218,not_helpful
1219,not_helpful
1220,not_helpful
1221,not_helpful
1222,not_helpful
1223,not_helpful
1224,not_helpful
1225,not_helpful
1226,not_helpful
1227,not_helpful
1228,not_helpful
1229,not_helpful
1230,not_helpful
1231,not_helpful
1232,not_helpful
1233,not_helpful
1234,not_helpful
1235,not_helpful
1236,not_helpful
1237,not_helpful
1238,not_helpful
1239,not_helpful
1240,not_helpful
1241,not_helpful
1242,not_helpful
1243,not_helpful
1244,not_helpful
1245,not_helpful
1246,not_helpful
1247,not_helpful
1248,not_helpful
1249,not_helpful
1250,not_helpful
1251,not_helpful
1252,not_helpful
1253,not_helpful
1254,not_helpful
1255,not_helpful
1256,not_helpful
1257,not_helpful
1258,not_helpful
1259,not_helpful
1260,not_helpful
1261,not_helpful
1262,not_helpful
1263,not_helpful
1264,not_helpful
1265,not_helpful
1266,not_helpful
1267,not_helpful
1268,not_helpful
1269,not_helpful
1270,not_helpful
1271,not_helpful
1272,not_helpful
1273,not_helpful
1274,not_helpful
1275,not_helpful
1276,not_helpful
1277,not_helpful
1278,not_helpful
1279,not_helpful
1280,not_helpful
1281,not_helpful
1282,not_helpful
1283,not_helpful
1284,not_helpful
1285,not_helpful
1286,not_helpful
1287,not_helpful
1288,not_helpful
1289,not_helpful
1290,not_helpful
1291,not_helpful
1292,not_helpful
1293,not_helpful
1294,not_helpful
1295,not_helpful
1296,not_helpful
1297,not_helpful
1298,not_helpful
1299,not_helpful
1300,not_helpful
1301,not_helpful
1302,not_helpful
1303,not_helpful
1304,not_helpful
1305,not_helpful
1306,not_helpful
1307,not_helpful
1308,not_helpful
1309,not_helpful
1310,not_helpful
1311,not_helpful
1312,not_helpful
1313,not_helpful
1314,not_helpful
1315,not_helpful
1316,not_helpful
1317,not_helpful
1318,not_helpful
1319,not_helpful
1320,not_helpful
1321,not_helpful
1322,not_helpful
1323,not_helpful
